AdminClient adminclient RST#adminclient#core#4-4-82
AttachManager com_code_sp/AttachManager5 RST#SrvMngr#Core#CCSP-441-18
LiveInfo com_code_sp/LiveInfo RST#SrvMngr#Core#CCSP-441-18
ArchiveServer Archive RST#AIS#CORE#REL4-41-0
Automats Automat RST#Server#Core#AUT-441-14
Crs crs RST#CRS#Core#CRS-441-08
Server Server RST#Server#Core#SV-441-44
Service Service/service RST#service#core#ser-4-4-1-11
GetterNative Service/getternative RST#service#core#dll-4-4-1-0
Common Common RST#Shared#Core#CMN-441-15
Softpro Service/softpro RST#service#core#sof-4-4-1-3
Spclient Client RST#jclient#core#4-4-78
SPPreProcEng PPE/PreProcEng RST#Engines#Core#PPE-1-1-0
SP_Dec SharedJC RST#Shared#core#SJC-441-02
SRVMNGR4 com_code_sp/SrvMngr4 RST#SrvMngr#Core#CCSP-441-18
srvmon Monitor RST#Monitor#Core#SVMN-441-04
TClient2 TClient2 RST#TClient#core#REL-4-41-18
Tcpack com_code_sp/tcpack RST#SrvMngr#Core#CCSP-441-18
globalFraudSignatureWS WebServices/GlobalFraud RST#Webservice#Core#WS-44-0-3
